block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,608,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,5.473883070396394,7.016523835395917,-1.5426407649995229
block_4,D50,609,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,5.868933669185559,5.082345804924949,0.7865878642606097
block_4,D50,610,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,6.667227909482758,8.448167705029235,-1.7809397955464767
block_4,D50,611,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.642872117400419,9.336743241807088,-0.6938711244066695
block_4,D50,612,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,4.099169213139802,6.556022643054337,-2.4568534299145357
block_4,D50,613,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.338530287984111,7.958845306687187,-0.6203150187030761
block_4,D50,614,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,5.827050053248139,7.271226437407059,-1.4441763841589204
block_4,D50,615,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.570902282884408,8.087316967798053,0.48358531508635494
block_4,D50,616,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,9.026301407296078,8.827063515756016,0.19923789154006144
block_4,D50,617,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,10.22027011560032,11.246955865325582,-1.026685749725262
block_4,D50,618,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.386639315019622,8.30731428518399,-0.9206749701643684
block_4,D50,619,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,6.687847813742192,8.06785720762192,-1.3800093938797273
block_4,D50,620,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.63575717144763,7.969749618985192,0.6660075524624371
block_4,D50,621,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.797157469077069,9.281757628852958,-0.4846001597758889
block_4,D50,622,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,9.812118570183088,9.577713257482893,0.23440531270019527
block_4,D50,623,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.080515521064301,6.896515770085477,1.183999750978824
block_4,D50,624,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,5.387096774193548,6.732545462130738,-1.34544868793719
block_4,D50,625,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,5.669064305914177,6.277271315056756,-0.6082070091425784
block_4,D50,642,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.8534253850239,7.920735727951129,-0.06731034292722882
block_4,D50,643,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,12.356875876031774,8.91515542585113,3.441720450180643
block_4,D50,644,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,9.634275882704967,8.04883095510811,1.585444927596857
block_4,D50,645,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,6.853376172990617,8.334021918861733,-1.480645745871116
block_4,D50,646,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.82299546142209,7.586504910846855,0.23649055057523416
block_4,D50,647,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.485328335056877,7.391909938322959,0.09341839673391839
block_4,D50,648,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.869324758842443,8.360763335475463,-0.49143857663302004
block_4,D50,649,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.527636773829668,7.370226421017982,0.15741035281168614
block_4,D50,650,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.504337671004336,8.320484933046892,-0.8161472620425556
block_4,D50,651,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.855280871374372,9.802901008936761,-0.9476201375623887
block_4,D50,652,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,9.556059767570556,9.628293281114686,-0.07223351354413055
block_4,D50,653,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.94953795977532,8.668483302641189,-0.7189453428658688
block_4,D50,654,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Sableux,2,8.227178661761323,8.945407196319193,-0.7182285345578698
block_4,D50,655,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Sableux,2,6.452574865305101,8.163236690929295,-1.7106618256241948
block_4,D50,956,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.023897739903669,10.048222891098947,-1.0243251511952778
block_4,D50,957,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.606239999999999,7.84394479137441,-0.23770479137441125
block_4,D50,958,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,11.009911361804996,8.90872815485844,2.101183206946555
block_4,D50,959,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.132727272727273,7.936235625515502,0.19649164721177037
block_4,D50,962,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,5.702086208296128,5.37962049778606,0.3224657105100679
block_4,D50,963,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,6.191025253288976,6.101525864665251,0.0894993886237252
block_4,D50,964,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.038101958017286,6.149461989770667,0.8886399682466193
block_4,D50,965,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,10.92597593911122,10.42900898405944,0.49696695505178035
block_4,D50,966,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.865567216391803,9.837792358614552,-1.972225142222749
block_4,D50,967,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.285305144761509,9.57223346655208,-0.2869283217905707
block_4,D50,969,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,6.66660538314458,7.322278559223192,-0.6556731760786123
block_4,D50,970,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.861153134980669,6.930425123404636,0.9307280115760328
