block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_6,sigma_local,3,GBM,0.758657482645994,3.410358604380584,2.085580219318599,289.0
block_6,sigma_local,3,GBM_train,0.9680946123481673,1.174776008140097,0.1224012957274816,289.0
block_6,D50,4,Ridge,0.7609196839342994,0.9615206234742526,0.5750800530002378,
block_6,D50,4,SVR_RBF,0.6561254906846181,1.1531523409382587,0.7108542006442775,
block_6,D50,4,RF_sqrt,0.5218087835901087,1.359838993382508,0.9237306259172993,
block_6,D50,4,RF_third,0.5597186755341111,1.3048236666438695,0.8067269692576069,
block_6,D50,4,GBM,0.5574659057364248,1.3081575769297962,0.7860973419166912,244.0
block_6,D50,4,GBM_train,0.9624847400337802,0.4313354464250507,0.07930484824383832,244.0
block_6,D90,4,Ridge,0.4145036185993298,1.2306687287763605,0.868552455515502,
block_6,D90,4,SVR_RBF,0.17584188172988857,1.4601058068606567,0.9930479568704875,
block_6,D90,4,RF_sqrt,0.32923257023110064,1.317240396448928,0.9244341991846952,
block_6,D90,4,RF_third,0.335103710821694,1.3114629088189236,0.8685426950153001,
block_6,D90,4,GBM,0.32851062823679156,1.3179490738335302,0.9199164344897746,67.0
block_6,D90,4,GBM_train,0.7502102369629537,0.7612548242408228,0.443329159334084,67.0
block_6,Span,4,Ridge,0.7074678081094155,0.34267711927341854,0.22968292186712302,
block_6,Span,4,SVR_RBF,0.5765859395121837,0.41226922090872287,0.2671215453453386,
block_6,Span,4,RF_sqrt,0.5191587964401774,0.43933834780598563,0.28861067759547954,
block_6,Span,4,RF_third,0.5202156390004351,0.4388552705763498,0.25850940037449943,
block_6,Span,4,GBM,0.46861491511011644,0.46185213423975974,0.28632894686162835,130.0
