patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
2841,7.099171496410894,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.632976888582269,2.997317011764749,0.6356598768175199,0.6356598768175199
2842,7.11336014889296,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.574197035206918,3.908301062563669,0.665895972643249,0.665895972643249
2847,7.526057875279963,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.121477639142015,5.224414734521167,-0.1029370953791515,0.1029370953791515
2848,7.131291937380709,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.944615384615386,4.99787162982871,-0.0532562452133236,0.0532562452133236
2849,7.195295891010712,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.392168421052632,3.9831903008018608,0.4089781202507709,0.4089781202507709
2850,8.21210361037993,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.71404990403071,4.779202434157286,-0.0651525301265758,0.0651525301265758
2851,8.051224656152751,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.132154253513477,4.000096549932312,0.1320577035811645,0.1320577035811645
2852,7.333107239435896,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.866797515819077,4.32842257693873,-0.4616250611196535,0.4616250611196535
2867,8.451215047496513,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.789620423244877,5.627069926189763,-0.8374495029448861,0.8374495029448861
2928,8.011492743093653,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,7.104263824117254,7.432920365866497,-0.3286565417492433,0.3286565417492433
2929,7.409954676065081,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,7.485660941000747,5.299647540392355,2.186013400608392,2.186013400608392
2930,9.219132248281324,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.917447259102386,6.800299470764106,-0.8828522116617199,0.8828522116617199
2931,8.302741235562268,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.041156697121185,5.37566497123289,-0.3345082741117053,0.3345082741117053
2938,7.5249037171761035,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,6.6232644409115,5.500714629749784,1.1225498111617158,1.1225498111617158
2939,8.228763559033014,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,6.525906735751295,5.752685867663096,0.7732208680881998,0.7732208680881998
2940,6.62328730172353,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.755021497786049,4.552789246254223,0.202232251531826,0.202232251531826
2941,7.436331673843573,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.8428274907749085,5.969957603603492,-0.1271301128285831,0.1271301128285831
2948,7.394205041679671,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.068353338604183,4.790240706955286,-0.7218873683511031,0.7218873683511031
2949,7.898302660290598,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.793519585253455,5.220452927060748,-0.4269333418072927,0.4269333418072927
2950,7.470905689002722,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.054392411553581,5.769827238550123,-0.7154348269965416,0.7154348269965416
2951,7.49190613012384,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.439766970618033,5.542190913037306,-0.1024239424192732,0.1024239424192732
2952,6.989195425353289,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,8.065265916149068,6.354220818378712,1.7110450977703555,1.7110450977703555
2958,7.196095896118212,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.477869155424135,4.786968566029072,0.6909005893950626,0.6909005893950626
2959,8.788838351458288,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.916825177243646,5.341716819429333,-0.4248916421856874,0.4248916421856874
2960,7.151626611343515,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.189092172301992,5.102115548678596,-0.9130233763766044,0.9130233763766044
2961,7.402031472661726,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.3523216009830605,5.581341980713191,-0.2290203797301302,0.2290203797301302
2962,7.527971397798768,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,7.586134067952248,6.808808216744256,0.7773258512079915,0.7773258512079915
2967,6.742033903366159,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.515702050350377,5.260374173197754,-0.7446721228473763,0.7446721228473763
2968,6.553639146943876,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.992276184903454,5.33709913929315,0.6551770456103041,0.6551770456103041
2969,8.280701937284345,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,6.409272284593534,6.692446702812806,-0.2831744182192715,0.2831744182192715
2970,7.13758005066295,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.587779756834197,5.6938672624143845,-0.106087505580187,0.106087505580187
2971,7.173080337763439,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.153314917127073,5.575955532363285,-0.4226406152362125,0.4226406152362125
2972,7.125584861554513,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.334574132492112,5.106923062868685,0.2276510696234277,0.2276510696234277
2978,6.742491414147938,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.036819971367215,5.460412882895699,-0.423592911528484,0.423592911528484
2979,8.170702584457336,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,6.679886816958902,6.275937931336619,0.4039488856222828,0.4039488856222828
2980,6.381164224208577,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,4.948002168189562,4.295478616070766,0.6525235521187955,0.6525235521187955
2981,7.467013011502661,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0058.tif,5.105557233464212,5.912193546422743,-0.8066363129585312,0.8066363129585312
2988,8.653000678767244,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0077.tif,6.629140426924022,5.592442199042294,1.036698227881728,1.036698227881728
3013,7.852736040997251,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0077.tif,5.642757009345794,6.526492477954857,-0.8837354686090633,0.8837354686090633
3014,8.030738421424797,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0077.tif,6.247946009389672,5.732384823039798,0.5155611863498741,0.5155611863498741
3115,8.74240098584688,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0100.tif,6.726403974067527,8.361892817647846,-1.635488843580318,1.635488843580318
3118,7.140140900776029,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0100.tif,5.035820341499629,4.803327277252347,0.232493064247282,0.232493064247282
3119,7.207910179361211,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0100.tif,5.326480649272252,5.221709431303443,0.1047712179688087,0.1047712179688087
