block,fold,metric,model,dropout,seed,r2,rmse,medae
block_4,1,D50,MLP_p0.5,0.5,0.0,0.8240656803740041,0.9228717069240022,0.596991827621657
block_4,1,D50,MLP_p0.5,0.5,1.0,0.825437331088537,0.9192671385243509,0.5218398210139472
block_4,1,D50,MLP_p0.5,0.5,2.0,0.8196833413737927,0.9342948917376832,0.5382339101298901
block_4,1,D90,MLP_p0.3,0.3,0.0,0.1885065663258194,1.4433449361104025,1.0129614956478115
block_4,1,D90,MLP_p0.3,0.3,1.0,0.1942665984569053,1.438213336598387,0.9962555611973976
block_4,1,D90,MLP_p0.3,0.3,2.0,0.21479743484561176,1.4197715936915976,0.9589575140091107
block_4,1,D90,MLP_p0.5,0.5,0.0,0.2018055051955936,1.4314691468650333,0.9731401455989701
block_4,1,D90,MLP_p0.5,0.5,1.0,0.23584153994283508,1.4006168301879212,0.9680799080126228
block_4,1,D90,MLP_p0.5,0.5,2.0,0.22156049822209412,1.4136440215942507,0.9633737420349089
block_4,1,Span,MLP_p0.3,0.3,0.0,0.8391422681395733,0.3186390838121966,0.19590792506979215
block_4,1,Span,MLP_p0.3,0.3,1.0,0.827200270165004,0.33025515391205157,0.21235603375277634
block_4,1,Span,MLP_p0.3,0.3,2.0,0.807551645004405,0.3485259951361058,0.22602233827493756
block_4,1,Span,MLP_p0.5,0.5,0.0,0.842978187196221,0.31481692150561985,0.18950043719672416
block_4,1,Span,MLP_p0.5,0.5,1.0,0.8295104230603543,0.32804014171859114,0.2340077868130661
block_4,1,Span,MLP_p0.5,0.5,2.0,0.8186315734316374,0.3383443409421235,0.20597102871717365
block_4,1,Skewness,MLP_p0.3,0.3,0.0,0.6826570937826979,0.16897445841759223,0.08245723206659389
block_4,1,Skewness,MLP_p0.3,0.3,1.0,0.6608423734140119,0.17468574223593683,0.11013274523171152
block_4,1,Skewness,MLP_p0.3,0.3,2.0,0.6689392991453454,0.1725879542321534,0.11902952458588206
block_4,1,Skewness,MLP_p0.5,0.5,0.0,0.6809518257311251,0.1694278491841312,0.10176530105534126
block_4,1,Skewness,MLP_p0.5,0.5,1.0,0.669582427043298,0.17242023561377032,0.10352993805842357
block_4,1,Skewness,MLP_p0.5,0.5,2.0,0.6741404883342473,0.17122684991975592,0.11153812639586524
block_4,1,sigma_local,MLP_p0.3,0.3,0.0,0.637801677145458,2.8625879302833095,1.951384499476656
block_4,1,sigma_local,MLP_p0.3,0.3,1.0,0.6344750253180192,2.875703765896922,1.746588532938973
block_4,1,sigma_local,MLP_p0.3,0.3,2.0,0.5846713482288096,3.0653605538529027,2.0972812008686823
block_4,1,sigma_local,MLP_p0.5,0.5,0.0,0.579905337817135,3.0828983120790747,2.020922584505316
block_4,1,sigma_local,MLP_p0.5,0.5,1.0,0.61095305022392,2.9667887646182654,1.7402426711081205
block_4,1,sigma_local,MLP_p0.5,0.5,2.0,0.5948926137898534,3.0274062216589694,1.859801751219532
block_4,2,D50,Ridge,,,0.7505912789326552,0.9447637300357743,0.6082070091427463
block_4,2,D90,Ridge,,,0.45578779623730037,1.2479353829480682,0.751653648209885
block_4,2,Span,Ridge,,,0.7501289617650394,0.34716459128675736,0.2809735379314322
block_4,2,Skewness,Ridge,,,0.7150908360155703,0.1511243610816669,0.11301625541799831
block_4,2,sigma_local,Ridge,,,0.5650862339401073,2.2782941752686066,1.676895576333239
block_4,2,D50,MLP_p0.3,0.3,0.0,0.7145015095365236,1.0108094712895153,0.6130416618712085
block_4,2,D50,MLP_p0.3,0.3,1.0,0.7379119032937473,0.9684808616149079,0.6346580284358838
block_4,2,D50,MLP_p0.3,0.3,2.0,0.7394657026435684,0.9656057559899213,0.6190851124357861
block_4,2,D50,MLP_p0.5,0.5,0.0,0.7258033630026874,0.9906003028023206,0.5781839265404978
block_4,2,D50,MLP_p0.5,0.5,1.0,0.7132348168614563,1.0130493568626715,0.6584293982951861
block_4,2,D50,MLP_p0.5,0.5,2.0,0.7314905454566438,0.9802733267097401,0.6439316613769543
block_4,2,D90,MLP_p0.3,0.3,0.0,0.33951286601116315,1.3748019560609799,0.8560876491179847
